film_title,category_name,sum
Ark Ridgemont,Action,38
Arizona Bang,Classics,37
Argonauts Town,Animation,36
Arachnophobia Rollercoaster,Horror,35
Arabia Dogma,Horror,34
Apollo Teen,Drama,33
Apocalypse Flamingos,New,32
Apache Divine,Family,31
Anything Savannah,Horror,30
Antitrust Tomatoes,Action,29
Anthem Luke,Comedy,28
Anonymous Human,Sports,27
Annie Identity,Sci-Fi,26
Angels Life,New,25
Analyze Hoosiers,Horror,24
Anaconda Confessions,Animation,23
Amistad Midsummer,New,22
American Circus,Action,21
Amelie Hellfighters,Music,20
Amadeus Holy,Action,19
Alter Victory,Animation,18
Alone Trip,Music,17
Alley Evolution,Foreign,16
Alien Center,Foreign,15
Alice Fantasia,Classics,14
Ali Forever,Horror,13
Alaska Phantom,Music,12
Alamo Videotape,Foreign,11
Aladdin Calendar,Sports,10
Alabama Devil,Horror,9
Airport Pollock,Horror,8
Airplane Sierra,Comedy,7
Agent Truman,Foreign,6
African Egg,Family,5
Affair Prejudice,Horror,4
Adaptation Holes,Documentary,3
Ace Goldfinger,Horror,2
Academy Dinosaur,Documentary,1
